0,0
1,0
2,1
3,1
4,0
5,0
6,1
7,1
8,2
9,2
10,3
11,4
12,2
13,2
14,3
15,4
16,5
17,5
18,6
19,6
20,5
21,5
22,7
23,7
24,8
25,8
26,9
27,10
28,8
29,8
30,11
31,12
32,0
33,0
34,1
35,1
36,0
37,0
38,1
39,1
40,2
41,2
42,3
43,4
44,2
45,2
46,3
47,4
48,5
49,5
50,6
51,6
52,5
53,5
54,7
55,7
56,8
57,8
58,9
59,10
60,8
61,8
62,11
63,12
64,13
65,13
66,14
67,14
68,13
69,13
70,14
71,14
72,15
73,15
74,16
75,17
76,15
77,15
78,16
79,17
80,18
81,18
82,19
83,19
84,18
85,18
86,20
87,20
88,21
89,21
90,22
91,23
92,21
93,21
94,24
95,25
96,13
97,13
98,14
99,14
100,13
101,13
102,14
103,14
104,26
105,26
106,27
107,28
108,26
109,26
110,27
111,28
112,18
113,18
114,19
115,19
116,18
117,18
118,20
119,20
120,29
121,29
122,30
123,31
124,29
125,29
126,32
127,33
128,0
129,0
130,1
131,1
132,0
133,0
134,1
135,1
136,2
137,2
138,3
139,4
140,2
141,2
142,3
143,4
144,5
145,5
146,6
147,6
148,5
149,5
150,7
151,7
152,8
153,8
154,9
155,10
156,8
157,8
158,11
159,12
160,0
161,0
162,1
163,1
164,0
165,0
166,1
167,1
168,2
169,2
170,3
171,4
172,2
173,2
174,3
175,4
176,5
177,5
178,6
179,6
180,5
181,5
182,7
183,7
184,8
185,8
186,9
187,10
188,8
189,8
190,11
191,12
192,13
193,13
194,14
195,14
196,13
197,13
198,14
199,14
200,15
201,15
202,16
203,17
204,15
205,15
206,16
207,17
208,34
209,34
210,35
211,35
212,34
213,34
214,36
215,36
216,37
217,37
218,38
219,39
220,37
221,37
222,40
223,41
224,13
225,13
226,14
227,14
228,13
229,13
230,14
231,14
232,26
233,26
234,27
235,28
236,26
237,26
238,27
239,28
240,34
241,34
242,35
243,35
244,34
245,34
246,36
247,36
248,42
249,42
250,43
251,44
252,42
253,42
254,45
255,46
